name,population
 Abkhazia,245424
 Afghanistan,32890171
 Albania,2829741
 Algeria,45400000
 American Samoa,49710
 Andorra,81057
 Angola,33086278
 Anguilla,15701
 Antigua and Barbuda,100772
 Argentina,47327407
 Armenia,2963900
 Artsakh,148900
 Aruba,111050
 Australia,26014782
 Austria,9090868
 Azerbaijan,10204774
 Bahamas,393450
 Bahrain,1501635
 Bangladesh,165158616
 Barbados,282000
 Belarus,9255524
 Belgium,11671737
 Belize,430191
 Benin,12506347
 Bermuda,64055
 Bhutan,763200
 Bolivia,12006031
 Bosnia and Herzegovina,3320954
 Botswana,2410338
 Brazil,215511309
 British Virgin Islands,31000
 Brunei,429999
 Bulgaria,6520314
 Burkina Faso,21510181
 Burundi,12574571
 Cambodia,15552211
 Cameroon,24348251
 Canada,39042128
 Cape Verde,563198
 Cayman Islands,71105
 Central African Republic,5633412
 Chad,16818391
 Chile,19828563
 China,1412600000
 Christmas Island,1692
 Cocos,593
 Colombia,51049498
 Comoros,758316
 Congo,5970000
 Cook Islands,15040
 Costa Rica,5163038
 Croatia,3871833
 Cuba,11113215
 Curaçao,153671
 Cyprus,918100
 Czech Republic,10525739
 DR Congo,99010000
 Denmark,5928364
 Djibouti,976107
 Dominica,73000
 Dominican Republic,10535535
 East Timor,1317780
 Ecuador,18122584
 Egypt,104190993
 El Salvador,6825935
 Equatorial Guinea,1505588
 Eritrea,3684000
 Estonia,1331796
 Eswatini,1202000
 Ethiopia,105163988
 Falkland Islands,3800
 Faroe Islands,54159
 Fiji,898402
 Finland,5528796
 France,67975000
 French Polynesia,279890
 Gabon,2233272
 Gambia,2706000
 Georgia,3688600
 Germany,84079811
 Ghana,30832019
 Gibraltar,33000
 Greece,10432481
 Greenland,56619
 Grenada,125000
 Guam,153836
 Guatemala,17109746
 Guernsey,63823
 Guinea,12907395
 Guinea-Bissau,1646077
 Guyana,743699
 Haiti,11743017
 Honduras,9546178
 Hong Kong,7403100
 Hungary,9689000
 Iceland,385230
 India,1375586000
 Indonesia,275773800
 Iran,86018341
 Iraq,41190700
 Ireland,5123536
 Isle of Man,84069
 Israel,9618620
 Italy,58853482
 Ivory Coast,29389150
 Jamaica,2734093
 Japan,125104000
 Jersey,107800
 Jordan,11362536
 Kazakhstan,19368720
 Kenya,47564296
 Kiribati,120740
 Kosovo,1798188
 Kuwait,4670713
 Kyrgyzstan,6800000
 Laos,7337783
 Latvia,1895400
 Lebanon,5490000
 Lesotho,2306000
 Liberia,4661010
 Libya,6812000
 Liechtenstein,39308
 Lithuania,2839020
 Luxembourg,645397
 Macau,683200
 Madagascar,26923353
 Malawi,21507723
 Malaysia,32757800
 Maldives,383135
 Mali,22594000
 Malta,519562
 Marshall Islands,39262
 Mauritania,4271197
 Mauritius,1266334
 Mexico,128533664
 Micronesia,105754
 Moldova,2597100
 Monaco,39150
 Mongolia,3472032
 Montenegro,621306
 Montserrat,4400
 Morocco,36806538
 Mozambique,31616078
 Myanmar,55294979
 Namibia,2550226
 Nauru,11832
 Nepal,29192480
 Netherlands,17773960
 New Caledonia,273674
 New Zealand,5135030
 Nicaragua,6595674
 Niger,24112753
 Nigeria,218541000
 Niue,1549
 Norfolk Island,2188
 North Korea,25660000
 North Macedonia,1832696
 Northern Cyprus,382836
 Northern Mariana Islands,47329
 Norway,5475240
 Oman,4527446
 Pakistan,235825000
 Palau,16733
 Palestine,5227193
 Panama,4278500
 Papua New Guinea,9122994
 Paraguay,7353038
 Peru,33396698
 Philippines,112812907
 Pitcairn Islands,47
 Poland,37979000
 Portugal,10344802
 Puerto Rico,3285874
 Qatar,2799202
 Romania,19038098
 Russia,145100000
 Rwanda,12955768
 Saint Barthélemy,10289
" Saint Helena, Ascension and Tristan da Cunha",5651
 Saint Kitts and Nevis,48000
 Saint Lucia,178696
 Saint Martin,32489
 Saint Pierre and Miquelon,5974
 Saint Vincent and the Grenadines,110696
 Samoa,199853
 San Marino,33785
 Saudi Arabia,35013414
 Senegal,17223497
 Serbia,6797105
 Seychelles,100447
 Sierra Leone,8494260
 Singapore,5453600
 Sint Maarten,42577
 Slovakia,5431235
 Slovenia,2108977
 Solomon Islands,728041
 Somalia,17598000
 South Africa,60604992
 South Korea,51638809
 South Ossetia,53532
 South Sudan,13249924
 Spain,47615034
 Sri Lanka,22156000
 Sudan,44988615
 Suriname,598000
 Sweden,10514692
 Switzerland,8789726
 Syria,22125000
 São Tomé and Príncipe,214610
 Taiwan,23375314
 Tajikistan,9506000
 Tanzania,61280743
 Thailand,66870292
 Togo,7886000
 Tokelau,1647
 Tonga,100179
 Transnistria,306000
 Trinidad and Tobago,1367558
 Tunisia,11803588
 Turkey,84680273
 Turkmenistan,6431000
 Turks and Caicos Islands,44542
 Tuvalu,10679
 U.S. Virgin Islands,87146
 Uganda,42885900
 Ukraine,41130432
 United Arab Emirates,9282410
 United Kingdom,67081234
 United States,333332642
 Uruguay,3554915
 Uzbekistan,35934952
 Vanuatu,301295
 Vatican City,825
 Venezuela,28302000
 Vietnam,98506193
 Wallis and Futuna,11369
 Western Sahara,576000
 Yemen,33697000
 Zambia,18400556
 Zimbabwe,15178979
 Åland,30402
